 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000            1000               0               0          4.8840;
     1    0.009            1000             126               4         -0.3242;
     2    0.018            1000             224               3         -0.0360;
     3    0.027            1000             303               8         -0.0293;
     4    0.035            1000             373              15          0.0171;
     5    0.044            1000             427              27          0.0562;
     6    0.053            1000             461              45          0.1361;
     7    0.062            1000             478              67          0.1960;
     8    0.071            1000             482              96          0.2442;
     9    0.080            1000             474             129          0.3065;
    10    0.089            1000             460             167          0.3236;
    11    0.097            1000             445             208          0.3370;
    12    0.106            1000             432             251          0.3346;
    13    0.115            1000             421             295          0.3236;
    14    0.124            1000             414             339          0.3126;
    15    0.133            1000             411             380          0.2998;
    16    0.142            1000             411             418          0.2875;
    17    0.151            1000             414             453          0.2625;
    18    0.159            1000             420             483          0.2521;
    19    0.168            1000             425             508          0.2576;
    20    0.177            1000             432             527          0.2509;
    21    0.186            1000             438             539          0.2466;
    22    0.195            1000             444             545          0.2381;
    23    0.204            1000             450             546          0.2485;
    24    0.213            1000             454             542          0.2485;
    25    0.221            1000             457             533          0.2527;
    26    0.230            1000             460             521          0.2521;
    27    0.239            1000             460             506          0.2637;
    28    0.248            1000             460             490          0.2637;
    29    0.257            1000             459             474          0.2772;
    30    0.266            1000             457             458          0.2686;
    31    0.274            1000             455             443          0.2766;
    32    0.283            1000             453             429          0.2759;
    33    0.292            1000             450             417          0.2784;
    34    0.301            1000             449             406          0.2735;
    35    0.310            1000             447             396          0.2772;
    36    0.319            1000             446             387          0.2753;
    37    0.328            1000             445             379          0.2741;
    38    0.336            1000             445             374          0.2711;
    39    0.345            1000             445             370          0.2711;
    40    0.354            1000             445             368          0.2723;
    41    0.363            1000             444             368          0.2723;
    42    0.372            1000             444             368          0.2735;
    43    0.381            1000             443             372          0.2753;
    44    0.390            1000             442             375          0.2747;
    45    0.398            1000             442             378          0.2729;
    46    0.407            1000             442             380          0.2723;
    47    0.416            1000             442             382          0.2723;
    48    0.425            1000             442             382          0.2723;
    49    0.434            1000             442             382          0.2723;
    50    0.443            1000             442             382          0.2723;
    51    0.452            1000             442             382          0.2723;
    52    0.460            1000             442             381          0.2723;
    53    0.469            1000             442             381          0.2723;
    54    0.478            1000             442             380          0.2723;
    55    0.487            1000             442             379          0.2723;
    56    0.496            1000             442             379          0.2723;
    57    0.505            1000             442             379          0.2723;
    58    0.514            1000             442             379          0.2723;
    59    0.522            1000             442             379          0.2723;
    60    0.531            1000             442             379          0.2723;
    61    0.540            1000             442             379          0.2723;
    62    0.549            1000             442             379          0.2723;
    63    0.558            1000             442             379          0.2723;
    64    0.567            1000             442             379          0.2723;
    65    0.576            1000             442             379          0.2723;
    66    0.584            1000             442             379          0.2723;
    67    0.593            1000             442             379          0.2723;
    68    0.602            1000             442             379          0.2723;
    69    0.611            1000             442             379          0.2723;
    70    0.620            1000             442             379          0.2723;
    71    0.629            1000             442             379          0.2723;
    72    0.638            1000             442             379          0.2723;
    73    0.646            1000             442             379          0.2723;
    74    0.655            1000             442             379          0.2723;
    75    0.664            1000             442             379          0.2723;
    76    0.673            1000             442             379          0.2723;
    77    0.682            1000             442             379          0.2723;
    78    0.691            1000             442             379          0.2723;
    79    0.699            1000             442             379          0.2723;
    80    0.708            1000             442             379          0.2723;
    81    0.717            1000             442             379          0.2723;
    82    0.726            1000             442             379          0.2723;
    83    0.735            1000             442             379          0.2723;
    84    0.744            1000             442             379          0.2723;
    85    0.753            1000             442             379          0.2723;
    86    0.761            1000             442             379          0.2723;
    87    0.770            1000             442             379          0.2723;
    88    0.779            1000             442             379          0.2723;
    89    0.788            1000             442             379          0.2723;
    90    0.797            1000             442             379          0.2723;
    91    0.806            1000             442             379          0.2723;
    92    0.815            1000             442             379          0.2723;
    93    0.823            1000             442             379          0.2723;
    94    0.832            1000             442             379          0.2723;
    95    0.841            1000             442             379          0.2723;
    96    0.850            1000             442             379          0.2723;
    97    0.859            1000             442             379          0.2723;
    98    0.868            1000             442             379          0.2723;
    99    0.877            1000             442             379          0.2723;
   100    0.885            1000             442             379          0.2723;
   101    0.894            1000             442             379          0.2723;
   102    0.903            1000             442             379          0.2723;
   103    0.912            1000             442             379          0.2723;
   104    0.921            1000             442             379          0.2723;
   105    0.930            1000             442             379          0.2723;
   106    0.939            1000             442             379          0.2723;
   107    0.947            1000             442             379          0.2723;
   108    0.956            1000             442             379          0.2723;
   109    0.965            1000             442             379          0.2723;
   110    0.974            1000             442             379          0.2723;
   111    0.983            1000             442             379          0.2723;
   112    0.992            1000             442             379          0.2723;
   113    1.001            1000             442             379          0.2723;
   114    1.009            1000             442             379          0.2723;
   115    1.018            1000             442             379          0.2723;
   116    1.027            1000             442             379          0.2723;
   117    1.036            1000             442             379          0.2723;
   118    1.045            1000             442             379          0.2723;
   119    1.054            1000             442             379          0.2723;
   120    1.063            1000             442             379          0.2723;
   121    1.071            1000             442             379          0.2723;
   122    1.080            1000             442             379          0.2723;
   123    1.089            1000             442             379          0.2723;
   124    1.098            1000             442             379          0.2723;
   125    1.107            1000             442             379          0.2723;
   126    1.116            1000             442             379          0.2723;
   127    1.124            1000             442             379          0.2723;
   128    1.133            1000             442             379          0.2723;
   129    1.142            1000             442             379          0.2723;
   130    1.151            1000             442             379          0.2723;
   131    1.160            1000             442             379          0.2723;
   132    1.169            1000             442             379          0.2723;
   133    1.178            1000             442             379          0.2723;
   134    1.186            1000             442             379          0.2723;
   135    1.195            1000             442             379          0.2723;
   136    1.204            1000             442             379          0.2723;
   137    1.213            1000             442             379          0.2723;
   138    1.222            1000             442             379          0.2723;
   139    1.231            1000             442             379          0.2723;
   140    1.240            1000             442             379          0.2723;
   141    1.248            1000             442             379          0.2723;
   142    1.257            1000             442             379          0.2723;
   143    1.266            1000             442             379          0.2723;
   144    1.275            1000             442             379          0.2723;
   145    1.284            1000             442             379          0.2723;
   146    1.293            1000             442             379          0.2723;
   147    1.302            1000             442             379          0.2723;
   148    1.310            1000             442             379          0.2723;
   149    1.319            1000             442             379          0.2723;
   150    1.328            1000             442             379          0.2723;
   151    1.337            1000             442             379          0.2723;
   152    1.346            1000             442             379          0.2723;
   153    1.355            1000             442             379          0.2723;
   154    1.364            1000             442             379          0.2723;
   155    1.372            1000             442             379          0.2723;
   156    1.381            1000             442             379          0.2723;
   157    1.390            1000             442             379          0.2723;
   158    1.399            1000             442             379          0.2723;
   159    1.408            1000             442             379          0.2723;
   160    1.417            1000             442             379          0.2723;
   161    1.426            1000             442             379          0.2723;
   162    1.434            1000             442             379          0.2723;
   163    1.443            1000             442             379          0.2723;
   164    1.452            1000             442             379          0.2723;
   165    1.461            1000             442             379          0.2723;
   166    1.470            1000             442             379          0.2723;
   167    1.479            1000             442             379          0.2723;
   168    1.488            1000             442             379          0.2723;
   169    1.496            1000             442             379          0.2723;
   170    1.505            1000             442             379          0.2723;
   171    1.514            1000             442             379          0.2723;
   172    1.523            1000             442             379          0.2723;
   173    1.532            1000             442             379          0.2723;
   174    1.541            1000             442             379          0.2723;
   175    1.549            1000             442             379          0.2723;
   176    1.558            1000             442             379          0.2723;
   177    1.567            1000             442             379          0.2723;
   178    1.576            1000             442             379          0.2723;
   179    1.585            1000             442             379          0.2723;
   180    1.594            1000             442             379          0.2723;
   181    1.603            1000             442             379          0.2723;
   182    1.611            1000             442             379          0.2723;
   183    1.620            1000             442             379          0.2723;
   184    1.629            1000             442             379          0.2723;
   185    1.638            1000             442             379          0.2723;
   186    1.647            1000             442             379          0.2723;
   187    1.656            1000             442             379          0.2723;
   188    1.665            1000             442             379          0.2723;
   189    1.673            1000             442             379          0.2723;
   190    1.682            1000             442             379          0.2723;
   191    1.691            1000             442             379          0.2723;
   192    1.700            1000             442             379          0.2723;
   193    1.709            1000             442             379          0.2723;
   194    1.718            1000             442             379          0.2723;
   195    1.727            1000             442             379          0.2723;
   196    1.735            1000             442             379          0.2723;
   197    1.744            1000             442             379          0.2723;
   198    1.753            1000             442             379          0.2723;
   199    1.762            1000             442             379          0.2723;
   200    1.771            1000             442             379          0.2723;
   201    1.780            1000             442             379          0.2723;
   202    1.789            1000             442             379          0.2723;
   203    1.797            1000             442             379          0.2723;
   204    1.806            1000             442             379          0.2723;
   205    1.815            1000             442             379          0.2723;
   206    1.824            1000             442             379          0.2723;
   207    1.833            1000             442             379          0.2723;
   208    1.842            1000             442             379          0.2723;
   209    1.851            1000             442             379          0.2723;
   210    1.859            1000             442             379          0.2723;
   211    1.868            1000             442             379          0.2723;
   212    1.877            1000             442             379          0.2723;
   213    1.886            1000             442             379          0.2723;
   214    1.895            1000             442             379          0.2723;
   215    1.904            1000             442             379          0.2723;
   216    1.913            1000             442             379          0.2723;
   217    1.921            1000             442             379          0.2723;
   218    1.930            1000             442             379          0.2723;
   219    1.939            1000             442             379          0.2723;
   220    1.948            1000             442             379          0.2723;
   221    1.957            1000             442             379          0.2723;
   222    1.966            1000             442             379          0.2723;
   223    1.974            1000             442             379          0.2723;
   224    1.983            1000             442             379          0.2723;
   225    1.992            1000             442             379          0.2723;
   226    2.001            1000             442             379          0.2723;
   227    2.010            1000             442             379          0.2723;
   228    2.019            1000             442             379          0.2723;
   229    2.028            1000             442             379          0.2723;
   230    2.036            1000             442             379          0.2723;
   231    2.045            1000             442             379          0.2723;
   232    2.054            1000             442             379          0.2723;
   233    2.063            1000             442             379          0.2723;
   234    2.072            1000             442             379          0.2723;
   235    2.081            1000             442             379          0.2723;
   236    2.090            1000             442             379          0.2723;
   237    2.098            1000             442             379          0.2723;
   238    2.107            1000             442             379          0.2723;
   239    2.116            1000             442             379          0.2723;
   240    2.125            1000             442             379          0.2723;
   241    2.134            1000             442             379          0.2723;
   242    2.143            1000             442             379          0.2723;
   243    2.152            1000             442             379          0.2723;
   244    2.160            1000             442             379          0.2723;
   245    2.169            1000             442             379          0.2723;
   246    2.178            1000             442             379          0.2723;
   247    2.187            1000             442             379          0.2723;
   248    2.196            1000             442             379          0.2723;
   249    2.205            1000             442             379          0.2723;
   250    2.214            1000             442             379          0.2723;
   251    2.222            1000             442             379          0.2723;
   252    2.231            1000             442             379          0.2723;
   253    2.240            1000             442             379          0.2723;
   254    2.249            1000             442             379          0.2723;
   255    2.258            1000             442             379          0.2723;
   256    2.267            1000             442             379          0.2723;
   257    2.276            1000             442             379          0.2723;
   258    2.284            1000             442             379          0.2723;
   259    2.293            1000             442             379          0.2723;
   260    2.302            1000             442             379          0.2723;
   261    2.311            1000             442             379          0.2723;
   262    2.320            1000             442             379          0.2723;
   263    2.329            1000             442             379          0.2723;
   264    2.338            1000             442             379          0.2723;
   265    2.346            1000             442             379          0.2723;
   266    2.355            1000             442             379          0.2723;
   267    2.364            1000             442             379          0.2723;
   268    2.373            1000             442             379          0.2723;
   269    2.382            1000             442             379          0.2723;
   270    2.391            1000             442             379          0.2723;
   271    2.399            1000             442             379          0.2723;
   272    2.408            1000             442             379          0.2723;
   273    2.417            1000             442             379          0.2723;
   274    2.426            1000             442             379          0.2723;
   275    2.435            1000             442             379          0.2723;
   276    2.444            1000             442             379          0.2723;
   277    2.453            1000             442             379          0.2723;
   278    2.461            1000             442             379          0.2723;
   279    2.470            1000             442             379          0.2723;
   280    2.479            1000             442             379          0.2723;
   281    2.488            1000             442             379          0.2723;
   282    2.497            1000             442             379          0.2723;
   283    2.506            1000             442             379          0.2723;
   284    2.515            1000             442             379          0.2723;
   285    2.523            1000             442             379          0.2723;
   286    2.532            1000             442             379          0.2723;
   287    2.541            1000             442             379          0.2723;
   288    2.550            1000             442             379          0.2723;
   289    2.559            1000             442             379          0.2723;
   290    2.568            1000             442             379          0.2723;
   291    2.577            1000             442             379          0.2723;
   292    2.585            1000             442             379          0.2723;
   293    2.594            1000             442             379          0.2723;
   294    2.603            1000             442             379          0.2723;
   295    2.612            1000             442             379          0.2723;
   296    2.621            1000             442             379          0.2723;
   297    2.630            1000             442             379          0.2723;
   298    2.639            1000             442             379          0.2723;
   299    2.647            1000             442             379          0.2723;
   300    2.656            1000             442             379          0.2723;
   301    2.665            1000             442             379          0.2723;
   302    2.674            1000             442             379          0.2723;
   303    2.683            1000             442             379          0.2723;
   304    2.692            1000             442             379          0.2723;
   305    2.701            1000             442             379          0.2723;
   306    2.709            1000             442             379          0.2723;
   307    2.718            1000             442             379          0.2723;
   308    2.727            1000             442             379          0.2723;
   309    2.736            1000             442             379          0.2723;
   310    2.745            1000             442             379          0.2723;
   311    2.754            1000             442             379          0.2723;
   312    2.763            1000             442             379          0.2723;
   313    2.771            1000             442             379          0.2723;
   314    2.780            1000             442             379          0.2723;
   315    2.789            1000             442             379          0.2723;
   316    2.798            1000             442             379          0.2723;
   317    2.807            1000             442             379          0.2723;
