 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000            1000               0               0          0.4878;
     1    0.009            1000              10               0          0.4829;
     2    0.018            1000              42               0          0.4676;
     3    0.027            1000              92               0          0.4432;
     4    0.035            1000             157               2          0.4115;
     5    0.044            1000             232               5          0.3748;
     6    0.053            1000             312              11          0.3358;
     7    0.062            1000             391              21          0.2967;
     8    0.071            1000             466              35          0.2607;
     9    0.080            1000             532              55          0.2283;
    10    0.089            1000             584              80          0.2027;
    11    0.097            1000             620             113          0.1850;
    12    0.106            1000             638             152          0.1764;
    13    0.115            1000             639             198          0.1758;
    14    0.124            1000             623             249          0.1838;
    15    0.133            1000             594             304          0.1978;
    16    0.142            1000             555             360          0.2167;
    17    0.151            1000             511             417          0.2381;
    18    0.159            1000             466             471          0.2601;
    19    0.168            1000             424             524          0.2814;
    20    0.177            1000             388             568          0.2985;
    21    0.186            1000             362             605          0.3114;
    22    0.195            1000             347             633          0.3187;
    23    0.204            1000             345             652          0.3199;
    24    0.213            1000             355             662          0.3144;
    25    0.221            1000             377             663          0.3040;
    26    0.230            1000             408             657          0.2888;
    27    0.239            1000             445             644          0.2711;
    28    0.248            1000             486             627          0.2509;
    29    0.257            1000             527             607          0.2308;
    30    0.266            1000             564             585          0.2125;
    31    0.274            1000             595             562          0.1972;
    32    0.283            1000             618             540          0.1862;
    33    0.292            1000             629             519          0.1807;
    34    0.301            1000             631             502          0.1795;
    35    0.310            1000             620             489          0.1850;
    36    0.319            1000             600             479          0.1954;
    37    0.328            1000             573             474          0.2082;
    38    0.336            1000             541             471          0.2241;
    39    0.345            1000             507             471          0.2405;
    40    0.354            1000             472             471          0.2576;
    41    0.363            1000             441             471          0.2729;
    42    0.372            1000             414             472          0.2863;
    43    0.381            1000             393             472          0.2961;
    44    0.390            1000             381             472          0.3022;
    45    0.398            1000             376             470          0.3046;
    46    0.407            1000             378             466          0.3034;
    47    0.416            1000             389             462          0.2979;
    48    0.425            1000             405             457          0.2906;
    49    0.434            1000             425             453          0.2808;
    50    0.443            1000             446             448          0.2705;
    51    0.452            1000             468             445          0.2595;
    52    0.460            1000             489             442          0.2491;
    53    0.469            1000             507             441          0.2405;
    54    0.478            1000             521             441          0.2338;
    55    0.487            1000             528             442          0.2302;
