 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000            1000               0               0          0.0000;
     1    0.009            1000              76               4          1.9182;
     2    0.018            1000             220               6         -1.0604;
     3    0.027            1000             318               8          0.4505;
     4    0.035            1000             418              23         -0.3168;
     5    0.044            1000             484              40          0.6825;
     6    0.053            1000             555              71          0.0488;
     7    0.062            1000             607             109          0.4579;
     8    0.071            1000             653             158          0.3980;
     9    0.080            1000             694             216          0.4121;
    10    0.089            1000             728             282          0.5110;
    11    0.097            1000             759             357          0.4347;
    12    0.106            1000             784             437          0.5122;
    13    0.115            1000             807             522          0.4902;
    14    0.124            1000             827             611          0.4243;
    15    0.133            1000             844             698          0.5012;
    16    0.142            1000             860             785          0.4628;
    17    0.151            1000             874             866          0.4701;
    18    0.159            1000             887             940          0.4335;
    19    0.168            1000             898            1005          0.4615;
    20    0.177            1000             914            1061          0.3333;
    21    0.186            1000             920            1104          0.5067;
    22    0.195            1000             926            1136          0.4640;
    23    0.204            1000             935            1154          0.3480;
    24    0.213            1000             941            1160          0.4084;
    25    0.221            1000             947            1155          0.4469;
    26    0.230            1000             952            1138          0.3730;
    27    0.239            1000             956            1114          0.4176;
    28    0.248            1000             959            1083          0.4084;
    29    0.257            1000             961            1047          0.4628;
    30    0.266            1000             963            1007          0.4493;
    31    0.274            1000             964             965          0.4799;
    32    0.283            1000             964             924          0.5147;
    33    0.292            1000             965             884          0.4976;
    34    0.301            1000             965             846          0.4963;
    35    0.310            1000             965             810          0.5140;
    36    0.319            1000             964             779          0.6227;
    37    0.328            1000             964             753          0.5244;
    38    0.336            1000             964             734          0.5263;
    39    0.345            1000             964             724          0.5275;
    40    0.354            1000             963             722          0.5409;
    41    0.363            1000             963             727          0.5476;
    42    0.372            1000             962             739          0.5464;
    43    0.381            1000             962             756          0.5495;
    44    0.390            1000             962             775          0.5433;
    45    0.398            1000             964             794          0.4377;
    46    0.407            1000             964             813          0.5391;
    47    0.416            1000             964             831          0.5403;
    48    0.425            1000             964             846          0.5421;
    49    0.434            1000             966             859          0.4469;
    50    0.443            1000             966             869          0.5330;
    51    0.452            1000             966             876          0.5342;
    52    0.460            1000             966             879          0.5360;
    53    0.469            1000             968             879          0.4695;
    54    0.478            1000             968             878          0.5287;
    55    0.487            1000             968             873          0.5299;
    56    0.496            1000             968             868          0.5226;
    57    0.505            1000             970             863          0.4969;
    58    0.514            1000             970             858          0.5201;
    59    0.522            1000             970             855          0.5256;
    60    0.531            1000             970             854          0.5269;
    61    0.540            1000             970             854          0.5281;
    62    0.549            1000             970             854          0.5250;
    63    0.558            1000             972             856          0.4237;
