 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000            1000               1               0         -0.0110;
     1    0.009            1000              72               5          3.0470;
     2    0.018            1000             247               7         -2.5317;
     3    0.027            1000             327               5          1.0556;
     4    0.035            1000             423              19         -0.1716;
     5    0.044            1000             492              29          0.4512;
     6    0.053            1000             557              51          0.2460;
     7    0.062            1000             607              75          0.4713;
     8    0.071            1000             653             109          0.4396;
     9    0.080            1000             691             147          0.5446;
    10    0.089            1000             723             192          0.5391;
    11    0.097            1000             752             244          0.5531;
    12    0.106            1000             776             301          0.5836;
    13    0.115            1000             797             361          0.5751;
    14    0.124            1000             816             425          0.5562;
    15    0.133            1000             833             491          0.5861;
    16    0.142            1000             847             559          0.5549;
    17    0.151            1000             859             625          0.6062;
    18    0.159            1000             872             691          0.5690;
    19    0.168            1000             882             753          0.5672;
    20    0.177            1000             892             812          0.5085;
    21    0.186            1000             900             866          0.5452;
    22    0.195            1000             908             917          0.5250;
    23    0.204            1000             915             960          0.5372;
    24    0.213            1000             921             997          0.4737;
    25    0.221            1000             926            1026          0.5592;
    26    0.230            1000             931            1046          0.4902;
    27    0.239            1000             936            1057          0.4817;
    28    0.248            1000             939            1061          0.5220;
    29    0.257            1000             943            1057          0.4908;
    30    0.266            1000             946            1045          0.5372;
    31    0.274            1000             947            1028          0.5446;
    32    0.283            1000             948            1006          0.5678;
    33    0.292            1000             951             980          0.5159;
    34    0.301            1000             951             951          0.5934;
    35    0.310            1000             951             921          0.5958;
    36    0.319            1000             952             892          0.5842;
    37    0.328            1000             953             862          0.5568;
    38    0.336            1000             953             832          0.5922;
    39    0.345            1000             952             804          0.7009;
    40    0.354            1000             952             778          0.6038;
    41    0.363            1000             952             755          0.6056;
    42    0.372            1000             952             734          0.6081;
    43    0.381            1000             951             717          0.6099;
    44    0.390            1000             950             702          0.6239;
    45    0.398            1000             949             692          0.6587;
    46    0.407            1000             951             687          0.6288;
    47    0.416            1000             951             686          0.6233;
    48    0.425            1000             949             688          0.6966;
    49    0.434            1000             948             695          0.6770;
    50    0.443            1000             950             704          0.5354;
    51    0.452            1000             951             714          0.6087;
    52    0.460            1000             950             725          0.7387;
    53    0.469            1000             950             735          0.6410;
    54    0.478            1000             951             744          0.5720;
    55    0.487            1000             952             752          0.6209;
    56    0.496            1000             952             758          0.6355;
    57    0.505            1000             952             764          0.6374;
    58    0.514            1000             952             769          0.6398;
    59    0.522            1000             954             773          0.5659;
    60    0.531            1000             954             777          0.6337;
    61    0.540            1000             954             780          0.6355;
    62    0.549            1000             954             783          0.6380;
    63    0.558            1000             954             785          0.6398;
    64    0.567            1000             955             786          0.6368;
    65    0.576            1000             956             787          0.6007;
    66    0.584            1000             956             787          0.6355;
    67    0.593            1000             956             787          0.6380;
    68    0.602            1000             956             787          0.6398;
    69    0.611            1000             958             787          0.5293;
    70    0.620            1000             958             787          0.6337;
    71    0.629            1000             958             787          0.6355;
    72    0.638            1000             958             787          0.6374;
    73    0.646            1000             958             787          0.6392;
    74    0.655            1000             960             787          0.5464;
    75    0.664            1000             960             787          0.6325;
    76    0.673            1000             960             787          0.6343;
    77    0.682            1000             960             787          0.6361;
    78    0.691            1000             960             787          0.6380;
    79    0.699            1000             960             787          0.6398;
    80    0.708            1000             962             787          0.5433;
    81    0.717            1000             962             787          0.6331;
    82    0.726            1000             961             787          0.6349;
    83    0.735            1000             961             787          0.6441;
    84    0.744            1000             963             787          0.5562;
    85    0.753            1000             963             787          0.6349;
    86    0.761            1000             963             787          0.6361;
    87    0.770            1000             963             787          0.6380;
    88    0.779            1000             963             787          0.6306;
    89    0.788            1000             963             787          0.6313;
    90    0.797            1000             964             787          0.6313;
    91    0.806            1000             964             787          0.6270;
    92    0.815            1000             964             787          0.6410;
    93    0.823            1000             964             787          0.6422;
    94    0.832            1000             964             787          0.6349;
    95    0.841            1000             964             787          0.6355;
    96    0.850            1000             965             787          0.6361;
    97    0.859            1000             965             788          0.6368;
    98    0.868            1000             965             788          0.6416;
    99    0.877            1000             965             788          0.6422;
   100    0.885            1000             965             788          0.6435;
   101    0.894            1000             966             788          0.6441;
   102    0.903            1000             966             788          0.6282;
   103    0.912            1000             967             788          0.6319;
   104    0.921            1000             967             788          0.6361;
   105    0.930            1000             967             788          0.6459;
   106    0.939            1000             967             788          0.6471;
   107    0.947            1000             967             788          0.6484;
   108    0.956            1000             968             788          0.6447;
   109    0.965            1000             969             788          0.6136;
   110    0.974            1000             969             788          0.6429;
   111    0.983            1000             969             788          0.6441;
   112    0.992            1000             969             788          0.6453;
   113    1.001            1000             969             788          0.6471;
   114    1.009            1000             970             788          0.6392;
   115    1.018            1000             971             788          0.6148;
   116    1.027            1000             971             788          0.6410;
   117    1.036            1000             971             788          0.6422;
   118    1.045            1000             971             788          0.6435;
   119    1.054            1000             971             788          0.6447;
   120    1.063            1000             971             788          0.6459;
   121    1.071            1000             971             788          0.6429;
   122    1.080            1000             972             788          0.5763;
   123    1.089            1000             973             788          0.6154;
   124    1.098            1000             972             788          0.7479;
   125    1.107            1000             972             788          0.6496;
   126    1.116            1000             974             788          0.5397;
   127    1.124            1000             974             788          0.6398;
   128    1.133            1000             974             788          0.6410;
   129    1.142            1000             974             788          0.6422;
   130    1.151            1000             974             788          0.6429;
   131    1.160            1000             974             788          0.6441;
   132    1.169            1000             975             789          0.6404;
   133    1.178            1000             976             790          0.6044;
   134    1.186            1000             975             790          0.6374;
   135    1.195            1000             975             790          0.6459;
   136    1.204            1000             976             790          0.6471;
   137    1.213            1000             976             790          0.6435;
   138    1.222            1000             976             790          0.6447;
   139    1.231            1000             976             790          0.6453;
   140    1.240            1000             976             790          0.6465;
   141    1.248            1000             976             790          0.6477;
   142    1.257            1000             976             790          0.6484;
   143    1.266            1000             976             790          0.6496;
   144    1.275            1000             976             790          0.6105;
   145    1.284            1000             976             790          0.6441;
   146    1.293            1000             976             790          0.6447;
   147    1.302            1000             977             790          0.6453;
   148    1.310            1000             977             790          0.6453;
   149    1.319            1000             977             790          0.6453;
   150    1.328            1000             977             790          0.6459;
   151    1.337            1000             977             790          0.6465;
   152    1.346            1000             977             790          0.6514;
   153    1.355            1000             977             790          0.6526;
   154    1.364            1000             977             790          0.6490;
   155    1.372            1000             977             790          0.6532;
   156    1.381            1000             977             790          0.6496;
   157    1.390            1000             977             790          0.6502;
   158    1.399            1000             978             790          0.6502;
   159    1.408            1000             978             790          0.6508;
   160    1.417            1000             978             791          0.6514;
   161    1.426            1000             978             791          0.6520;
   162    1.434            1000             978             791          0.6563;
   163    1.443            1000             978             791          0.6526;
   164    1.452            1000             978             791          0.6532;
   165    1.461            1000             978             791          0.6538;
   166    1.470            1000             979             791          0.6050;
   167    1.479            1000             980             791          0.6459;
   168    1.488            1000             980             791          0.6453;
   169    1.496            1000             980             791          0.6447;
   170    1.505            1000             980             791          0.6538;
   171    1.514            1000             980             791          0.6545;
   172    1.523            1000             980             791          0.6557;
   173    1.532            1000             980             791          0.6520;
   174    1.541            1000             980             791          0.6520;
   175    1.549            1000             980             791          0.6526;
   176    1.558            1000             981             791          0.6526;
   177    1.567            1000             981             791          0.6526;
   178    1.576            1000             981             791          0.6526;
   179    1.585            1000             981             791          0.6532;
   180    1.594            1000             981             791          0.6532;
   181    1.603            1000             981             792          0.6581;
   182    1.611            1000             981             792          0.6587;
   183    1.620            1000             981             792          0.6551;
   184    1.629            1000             982             792          0.6593;
   185    1.638            1000             983             792          0.6380;
   186    1.647            1000             983             792          0.6361;
   187    1.656            1000             982             792          0.6606;
   188    1.665            1000             984             792          0.5897;
   189    1.673            1000             984             792          0.6496;
   190    1.682            1000             984             792          0.6502;
   191    1.691            1000             984             792          0.6508;
   192    1.700            1000             984             792          0.6520;
   193    1.709            1000             984             792          0.6526;
   194    1.718            1000             984             792          0.6441;
   195    1.727            1000             986             792          0.5726;
   196    1.735            1000             986             792          0.6282;
   197    1.744            1000             985             792          0.6526;
   198    1.753            1000             985             792          0.6532;
   199    1.762            1000             986             792          0.5824;
   200    1.771            1000             986             792          0.6496;
   201    1.780            1000             986             792          0.6502;
   202    1.789            1000             986             792          0.6508;
   203    1.797            1000             986             792          0.6514;
   204    1.806            1000             986             792          0.6520;
   205    1.815            1000             986             792          0.6526;
   206    1.824            1000             986             792          0.6532;
   207    1.833            1000             986             792          0.6538;
   208    1.842            1000             986             792          0.6545;
   209    1.851            1000             986             792          0.6551;
   210    1.859            1000             986             792          0.6557;
   211    1.868            1000             986             792          0.6563;
   212    1.877            1000             986             792          0.6569;
   213    1.886            1000             986             792          0.6575;
   214    1.895            1000             986             792          0.6227;
   215    1.904            1000             986             792          0.6563;
   216    1.913            1000             986             792          0.6520;
   217    1.921            1000             986             792          0.6526;
   218    1.930            1000             986             792          0.6526;
   219    1.939            1000             986             792          0.6526;
   220    1.948            1000             986             792          0.6532;
   221    1.957            1000             987             792          0.6532;
   222    1.966            1000             987             792          0.6581;
   223    1.974            1000             987             792          0.6581;
   224    1.983            1000             987             792          0.6581;
   225    1.992            1000             987             793          0.6587;
   226    2.001            1000             987             793          0.6587;
   227    2.010            1000             987             793          0.6593;
   228    2.019            1000             987             793          0.6545;
   229    2.028            1000             987             793          0.6593;
   230    2.036            1000             987             793          0.6593;
   231    2.045            1000             987             793          0.6593;
   232    2.054            1000             987             793          0.6557;
   233    2.063            1000             987             793          0.6557;
   234    2.072            1000             988             793          0.6557;
   235    2.081            1000             988             793          0.6600;
   236    2.090            1000             988             794          0.6606;
   237    2.098            1000             988             794          0.6563;
   238    2.107            1000             988             794          0.6563;
   239    2.116            1000             988             794          0.6569;
   240    2.125            1000             988             794          0.6569;
   241    2.134            1000             988             794          0.6612;
   242    2.143            1000             988             794          0.6569;
   243    2.152            1000             988             794          0.6569;
   244    2.160            1000             988             794          0.6575;
   245    2.169            1000             989             794          0.6044;
   246    2.178            1000             989             794          0.6447;
   247    2.187            1000             990             794          0.6477;
   248    2.196            1000             990             794          0.6471;
   249    2.205            1000             990             794          0.6551;
   250    2.214            1000             990             794          0.6557;
   251    2.222            1000             990             794          0.6563;
   252    2.231            1000             990             794          0.6563;
   253    2.240            1000             990             794          0.6569;
   254    2.249            1000             990             794          0.6575;
   255    2.258            1000             990             794          0.6575;
   256    2.267            1000             990             795          0.6581;
   257    2.276            1000             990             795          0.6587;
   258    2.284            1000             990             795          0.6593;
   259    2.293            1000             990             795          0.6593;
   260    2.302            1000             990             795          0.6600;
   261    2.311            1000             990             795          0.6557;
   262    2.320            1000             990             795          0.6563;
   263    2.329            1000             990             795          0.6563;
   264    2.338            1000             990             795          0.6563;
   265    2.346            1000             990             795          0.6563;
   266    2.355            1000             990             795          0.6563;
   267    2.364            1000             990             795          0.6569;
   268    2.373            1000             991             795          0.6569;
   269    2.382            1000             991             795          0.6569;
   270    2.391            1000             991             795          0.6569;
   271    2.399            1000             991             795          0.6569;
   272    2.408            1000             991             795          0.6569;
   273    2.417            1000             991             795          0.6569;
   274    2.426            1000             991             795          0.6575;
   275    2.435            1000             991             795          0.6575;
   276    2.444            1000             991             795          0.6618;
   277    2.453            1000             991             795          0.6618;
   278    2.461            1000             991             795          0.6624;
   279    2.470            1000             991             795          0.6630;
   280    2.479            1000             991             795          0.6630;
   281    2.488            1000             991             795          0.6630;
   282    2.497            1000             991             795          0.6630;
   283    2.506            1000             991             795          0.6630;
   284    2.515            1000             991             795          0.6587;
   285    2.523            1000             991             795          0.6593;
   286    2.532            1000             991             795          0.6593;
   287    2.541            1000             992             795          0.6593;
   288    2.550            1000             992             795          0.6282;
   289    2.559            1000             992             795          0.6569;
   290    2.568            1000             992             795          0.6563;
   291    2.577            1000             992             795          0.6606;
   292    2.585            1000             993             795          0.6563;
   293    2.594            1000             993             795          0.6563;
   294    2.603            1000             993             795          0.6557;
   295    2.612            1000             993             795          0.6557;
   296    2.621            1000             993             795          0.6557;
   297    2.630            1000             993             795          0.6551;
   298    2.639            1000             993             795          0.6593;
   299    2.647            1000             993             795          0.6600;
   300    2.656            1000             993             795          0.6600;
   301    2.665            1000             993             795          0.6606;
   302    2.674            1000             993             795          0.6606;
   303    2.683            1000             993             795          0.6612;
   304    2.692            1000             993             795          0.6612;
   305    2.701            1000             993             795          0.6618;
   306    2.709            1000             993             795          0.6575;
   307    2.718            1000             993             795          0.6618;
   308    2.727            1000             993             795          0.6618;
   309    2.736            1000             993             795          0.6618;
   310    2.745            1000             993             795          0.6618;
   311    2.754            1000             993             795          0.6618;
   312    2.763            1000             993             795          0.6618;
   313    2.771            1000             993             795          0.6575;
   314    2.780            1000             994             795          0.6575;
   315    2.789            1000             994             795          0.6575;
   316    2.798            1000             994             795          0.6575;
   317    2.807            1000             994             795          0.6575;
   318    2.816            1000             994             796          0.6575;
   319    2.824            1000             994             796          0.6618;
   320    2.833            1000             994             796          0.6618;
   321    2.842            1000             994             796          0.6618;
   322    2.851            1000             994             796          0.6618;
   323    2.860            1000             994             796          0.6618;
   324    2.869            1000             994             796          0.6618;
   325    2.878            1000             994             796          0.6624;
   326    2.886            1000             994             796          0.6624;
   327    2.895            1000             994             796          0.6624;
   328    2.904            1000             994             796          0.6581;
   329    2.913            1000             994             797          0.6581;
   330    2.922            1000             994             797          0.6581;
   331    2.931            1000             994             797          0.6624;
   332    2.940            1000             994             797          0.6624;
   333    2.948            1000             994             797          0.6624;
   334    2.957            1000             995             797          0.6581;
   335    2.966            1000             995             797          0.6575;
   336    2.975            1000             995             797          0.6575;
   337    2.984            1000             995             797          0.6624;
   338    2.993            1000             995             797          0.6618;
   339    3.002               0             995             797          0.6618;
   340    3.010               0             927             793         -2.5208;
   341    3.019               0             750             791          3.0781;
   342    3.028               0             666             795         -0.1703;
   343    3.037               0             576             782          0.5641;
   344    3.046               0             506             772          0.2088;
   345    3.055               0             441             752          0.3797;
   346    3.064               0             390             727          0.1374;
   347    3.072               0             343             693          0.2570;
   348    3.081               0             307             653          0.0861;
   349    3.090               0             276             607          0.0433;
   350    3.099               0             246             554          0.1410;
   351    3.108               0             223             496          0.0226;
   352    3.117               0             202             435          0.0440;
   353    3.126               0             182             370          0.0781;
   354    3.134               0             165             302          0.0830;
   355    3.143               0             151             233          0.0421;
   356    3.152               0             138             165          0.0739;
   357    3.161               0             126              99          0.1374;
   358    3.170               0             116              35          0.1117;
   359    3.179               0             105             -25          0.1233;
   360    3.188               0              96             -80          0.1575;
   361    3.196               0              89            -129          0.0928;
   362    3.205               0              81            -171          0.1435;
   363    3.214               0              76            -207          0.1563;
   364    3.223               0              71            -234          0.0971;
   365    3.232               0              66            -253          0.1111;
   366    3.241               0              61            -263          0.1807;
   367    3.249               0              58            -266          0.0714;
   368    3.258               0              54            -260          0.1410;
   369    3.267               0              52            -248          0.1007;
   370    3.276               0              49            -230          0.1392;
   371    3.285               0              48            -208          0.1074;
   372    3.294               0              45            -182          0.1569;
   373    3.303               0              45            -155          0.0604;
   374    3.311               0              44            -126          0.0855;
   375    3.320               0              44             -97          0.1001;
   376    3.329               0              43             -68          0.0855;
   377    3.338               0              43             -39          0.0629;
   378    3.347               0              43             -10          0.0611;
   379    3.356               0              43              17          0.0592;
   380    3.365               0              43              43          0.0568;
   381    3.373               0              43              66          0.0549;
   382    3.382               0              43              86          0.0531;
   383    3.391               0              45             101         -0.0556;
   384    3.400               0              45             112          0.0421;
   385    3.409               0              45             118          0.0403;
   386    3.418               0              45             120          0.0220;
   387    3.427               0              47             118         -0.0305;
   388    3.435               0              47             111          0.0055;
   389    3.444               0              47             102          0.0201;
   390    3.453               0              47              91          0.0183;
   391    3.462               0              47              79          0.0159;
   392    3.471               0              47              66          0.0140;
   393    3.480               0              47              54          0.0122;
   394    3.489               0              47              42          0.0098;
   395    3.497               0              47              32          0.0079;
   396    3.506               0              47              23          0.0061;
   397    3.515               0              47              17          0.0037;
   398    3.524               0              47              13          0.0018;
   399    3.533               0              47              12          0.0000;
   400    3.542               0              47              11         -0.0024;
   401    3.551               0              47              14         -0.0043;
   402    3.559               0              47              17         -0.0061;
   403    3.568               0              47              22         -0.0085;
   404    3.577               0              47              26         -0.0104;
   405    3.586               0              47              30         -0.0122;
   406    3.595               0              46              32          0.0922;
   407    3.604               0              46              33         -0.0092;
   408    3.613               0              46              34         -0.0110;
   409    3.621               0              46              34         -0.0128;
   410    3.630               0              46              33         -0.0153;
   411    3.639               0              46              31         -0.0171;
   412    3.648               0              46              30         -0.0189;
   413    3.657               0              46              30         -0.0208;
   414    3.666               0              46              30         -0.0226;
   415    3.674               0              46              30         -0.0250;
   416    3.683               0              46              30         -0.0269;
   417    3.692               0              45              30         -0.0287;
   418    3.701               0              45              30         -0.0281;
   419    3.710               0              45              30         -0.0250;
   420    3.719               0              45              30         -0.0269;
   421    3.728               0              45              30         -0.0281;
   422    3.736               0              44              30         -0.0220;
   423    3.745               0              44              30         -0.0226;
   424    3.754               0              43              30         -0.0232;
   425    3.763               0              43              30         -0.0244;
   426    3.772               0              43              30         -0.0293;
   427    3.781               0              43              30         -0.0354;
   428    3.790               0              43              30         -0.0372;
   429    3.798               0              43              30         -0.0348;
   430    3.807               0              42              30          0.0263;
   431    3.816               0              41              30         -0.0049;
   432    3.825               0              41              30         -0.0348;
   433    3.834               0              41              30         -0.0366;
   434    3.843               0              41              30         -0.0385;
   435    3.852               0              41              30         -0.0403;
   436    3.860               0              40              30         -0.0330;
   437    3.869               0              38              30          0.0354;
   438    3.878               0              38              30         -0.0305;
   439    3.887               0              38              30         -0.0324;
   440    3.896               0              38              30         -0.0342;
   441    3.905               0              38              30         -0.0354;
   442    3.914               0              38              30         -0.0372;
   443    3.922               0              38              30         -0.0336;
   444    3.931               0              38              30         -0.0342;
   445    3.940               0              37              30         -0.0354;
   446    3.949               0              37              30         -0.0360;
   447    3.958               0              37              30         -0.0366;
   448    3.967               0              37              30         -0.0421;
   449    3.976               0              37              30         -0.0433;
   450    3.984               0              37              30         -0.0409;
   451    3.993               0              37              30         -0.0415;
   452    4.002               0              37              30         -0.0427;
   453    4.011               0              36              30         -0.0311;
   454    4.020               0              35              30         -0.0354;
   455    4.029               0              35              30         -0.0311;
   456    4.038               0              35              30         -0.0446;
   457    4.046               0              35              30         -0.0464;
   458    4.055               0              35              30         -0.0476;
   459    4.064               0              35              30         -0.0403;
   460    4.073               0              34              30          0.0171;
   461    4.082               0              33              30         -0.0226;
   462    4.091               0              33              30         -0.0440;
   463    4.099               0              33              30         -0.0452;
   464    4.108               0              33              30         -0.0464;
   465    4.117               0              33              30         -0.0482;
   466    4.126               0              32              30         -0.0403;
   467    4.135               0              31              30         -0.0079;
   468    4.144               0              31              30         -0.0427;
   469    4.153               0              31              30         -0.0440;
   470    4.161               0              31              30         -0.0452;
   471    4.170               0              31              30         -0.0464;
   472    4.179               0              31              30         -0.0476;
   473    4.188               0              31              30         -0.0403;
