 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Control Effort

[    0    0.000            1000              -2               3          0.0684;
     1    0.009            1000             126               8          1.7338;
     2    0.018            1000             216               6          0.3162;
     3    0.027            1000             356              12         -0.5391;
     4    0.035            1000             413              17          0.8309;
     5    0.044            1000             518              31         -0.5140;
     6    0.053            1000             576              42          0.0983;
     7    0.062            1000             625              64          0.6685;
     8    0.071            1000             673              91          0.2222;
     9    0.080            1000             709             124          0.6087;
    10    0.089            1000             743             164          0.4066;
    11    0.097            1000             769             210          0.6197;
    12    0.106            1000             796             263          0.4609;
    13    0.115            1000             815             321          0.6386;
    14    0.124            1000             833             384          0.4994;
    15    0.133            1000             848             451          0.6313;
    16    0.142            1000             863             523          0.5244;
    17    0.151            1000             875             595          0.6001;
    18    0.159            1000             887             669          0.5055;
    19    0.168            1000             896             741          0.5794;
    20    0.177            1000             907             813          0.4469;
    21    0.186            1000             916             881          0.5470;
    22    0.195            1000             925             947          0.4408;
    23    0.204            1000             932            1008          0.5055;
    24    0.213            1000             940            1065          0.4298;
    25    0.221            1000             946            1116          0.4438;
    26    0.230            1000             952            1163          0.4371;
    27    0.239            1000             958            1202          0.3938;
    28    0.248            1000             963            1233          0.4408;
    29    0.257            1000             968            1256          0.4090;
    30    0.266            1000             972            1271          0.3907;
    31    0.274            1000             975            1277          0.3919;
    32    0.283            1000             978            1278          0.4396;
    33    0.292            1000             981            1268          0.4042;
    34    0.301            1000             983            1253          0.4335;
    35    0.310            1000             984            1232          0.4109;
    36    0.319            1000             985            1207          0.4316;
    37    0.328            1000             986            1177          0.4359;
    38    0.336            1000             987            1145          0.4353;
    39    0.345            1000             987            1112          0.4652;
    40    0.354            1000             987            1076          0.4658;
    41    0.363            1000             987            1039          0.4664;
    42    0.372            1000             987            1001          0.4670;
    43    0.381            1000             985             964          0.5696;
    44    0.390            1000             984             927          0.5153;
    45    0.398            1000             984             893          0.4829;
    46    0.407            1000             984             862          0.4835;
    47    0.416            1000             981             834          0.6227;
    48    0.425            1000             980             808          0.5543;
    49    0.434            1000             980             784          0.5055;
    50    0.443            1000             979             763          0.5110;
    51    0.452            1000             977             747          0.5940;
    52    0.460            1000             977             735          0.5232;
    53    0.469            1000             977             728          0.5244;
    54    0.478            1000             975             726          0.5965;
    55    0.487            1000             975             726          0.5446;
    56    0.496            1000             975             733          0.5372;
    57    0.505            1000             975             742          0.5427;
    58    0.514            1000             974             753          0.5537;
    59    0.522            1000             974             766          0.5525;
    60    0.531            1000             974             781          0.5507;
    61    0.540            1000             975             796          0.4408;
    62    0.549            1000             975             810          0.5415;
    63    0.558            1000             975             824          0.5421;
    64    0.567            1000             975             837          0.5433;
    65    0.576            1000             976             849          0.5446;
    66    0.584            1000             977             861          0.5342;
    67    0.593            1000             978             873          0.5024;
    68    0.602            1000             978             885          0.5354;
    69    0.611            1000             978             896          0.5366;
    70    0.620            1000             978             908          0.5372;
    71    0.629            1000             980             919          0.4451;
    72    0.638            1000             980             930          0.5293;
    73    0.646            1000             980             938          0.5305;
    74    0.655            1000             980             946          0.5177;
    75    0.664            1000             982             951          0.4457;
    76    0.673            1000             983             955          0.4890;
    77    0.682            1000             981             956          0.6209;
    78    0.691            1000             982             956          0.5269;
    79    0.699            1000             984             955          0.4249;
    80    0.708            1000             984             952          0.5165;
    81    0.717            1000             984             949          0.5171;
    82    0.726            1000             984             945          0.5177;
    83    0.735            1000             984             941          0.5183;
    84    0.744            1000             984             937          0.5189;
    85    0.753            1000             984             934          0.5195;
    86    0.761            1000             984             932          0.5201;
    87    0.770            1000             984             931          0.5208;
    88    0.779            1000             984             930          0.5220;
    89    0.788            1000             984             930          0.5226;
    90    0.797            1000             984             930          0.5189;
    91    0.806            1000             984             930          0.5232;
    92    0.815            1000             984             931          0.5189;
    93    0.823            1000             984             932          0.5238;
    94    0.832            1000             984             933          0.5195;
    95    0.841            1000             984             933          0.5238;
    96    0.850            1000             985             933          0.5201;
    97    0.859            1000             985             933          0.5201;
    98    0.868            1000             985             933          0.5201;
    99    0.877            1000             985             933          0.5208;
   100    0.885            1000             985             933          0.5208;
   101    0.894            1000             985             933          0.5256;
   102    0.903            1000             985             933          0.5263;
   103    0.912            1000             985             933          0.5269;
   104    0.921            1000             985             933          0.5275;
   105    0.930            1000             985             933          0.5281;
   106    0.939            1000             985             933          0.5287;
   107    0.947            1000             985             933          0.5287;
   108    0.956            1000             985             933          0.5250;
   109    0.965            1000             985             933          0.5250;
   110    0.974            1000             986             933          0.5256;
   111    0.983            1000             986             933          0.5177;
   112    0.992            1000             986             933          0.5171;
   113    1.001            1000             987             933          0.5171;
   114    1.009            1000             987             933          0.5208;
   115    1.018            1000             987             933          0.5201;
   116    1.027            1000             987             933          0.5250;
   117    1.036            1000             987             933          0.5256;
   118    1.045            1000             987             933          0.5263;
   119    1.054            1000             987             933          0.5269;
   120    1.063            1000             987             933          0.5275;
   121    1.071            1000             987             933          0.5281;
   122    1.080            1000             987             933          0.5287;
   123    1.089            1000             987             933          0.5293;
   124    1.098            1000             987             933          0.5293;
   125    1.107            1000             987             933          0.5256;
   126    1.116            1000             987             933          0.5263;
   127    1.124            1000             987             933          0.5263;
   128    1.133            1000             987             933          0.5263;
   129    1.142            1000             987             933          0.5269;
   130    1.151            1000             987             933          0.5311;
   131    1.160            1000             987             933          0.5311;
   132    1.169            1000             987             933          0.5317;
   133    1.178            1000             988             933          0.5317;
   134    1.186            1000             988             933          0.5006;
   135    1.195            1000             988             933          0.5256;
   136    1.204            1000             988             933          0.5256;
   137    1.213            1000             988             933          0.5256;
   138    1.222            1000             988             933          0.5256;
   139    1.231            1000             989             933          0.5256;
   140    1.240            1000             989             933          0.5256;
   141    1.248            1000             989             933          0.5250;
   142    1.257            1000             989             933          0.5256;
   143    1.266            1000             989             933          0.5299;
   144    1.275            1000             989             933          0.5305;
   145    1.284            1000             989             933          0.5305;
   146    1.293            1000             989             933          0.5311;
   147    1.302            1000             989             933          0.5317;
   148    1.310            1000             989             933          0.5324;
   149    1.319            1000             989             933          0.5281;
   150    1.328            1000             989             933          0.5281;
   151    1.337            1000             989             933          0.5287;
   152    1.346            1000             989             933          0.5287;
   153    1.355            1000             989             933          0.5287;
   154    1.364            1000             990             933          0.5287;
   155    1.372            1000             990             933          0.5256;
   156    1.381            1000             990             933          0.5250;
   157    1.390            1000             991             933          0.5201;
   158    1.399            1000             991             933          0.5195;
   159    1.408            1000             991             933          0.5189;
   160    1.417            1000             991             933          0.5275;
   161    1.426            1000             991             933          0.5281;
   162    1.434            1000             991             933          0.5287;
   163    1.443            1000             991             933          0.5287;
   164    1.452            1000             991             933          0.5293;
   165    1.461            1000             991             933          0.5293;
   166    1.470            1000             991             933          0.5299;
   167    1.479            1000             991             933          0.5305;
   168    1.488            1000             991             933          0.5305;
   169    1.496            1000             991             933          0.5311;
   170    1.505            1000             991             933          0.5317;
   171    1.514            1000             991             933          0.5317;
   172    1.523            1000             991             933          0.5324;
   173    1.532            1000             991             933          0.5330;
   174    1.541            1000             991             933          0.5330;
   175    1.549            1000             991             933          0.5330;
   176    1.558            1000             991             933          0.5287;
   177    1.567            1000             991             933          0.5287;
   178    1.576            1000             991             933          0.5287;
   179    1.585            1000             991             933          0.5336;
   180    1.594            1000             991             933          0.5336;
   181    1.603            1000             991             933          0.5336;
   182    1.611            1000             991             933          0.5293;
   183    1.620            1000             991             933          0.5299;
   184    1.629            1000             992             933          0.5299;
   185    1.638            1000             992             933          0.5342;
   186    1.647            1000             992             933          0.5342;
   187    1.656            1000             992             933          0.5342;
   188    1.665            1000             992             933          0.5299;
   189    1.673            1000             992             933          0.5305;
   190    1.682            1000             992             933          0.5305;
   191    1.691            1000             992             933          0.5348;
   192    1.700            1000             992             933          0.5305;
   193    1.709            1000             992             933          0.5348;
   194    1.718            1000             992             933          0.5348;
   195    1.727            1000             992             933          0.5348;
   196    1.735            1000             992             933          0.5348;
   197    1.744            1000             992             933          0.5311;
   198    1.753            1000             992             933          0.5311;
   199    1.762            1000             992             933          0.5311;
   200    1.771            1000             992             933          0.5354;
   201    1.780            1000             992             933          0.5354;
   202    1.789            1000             992             933          0.5354;
   203    1.797            1000             993             933          0.5354;
   204    1.806            1000             993             933          0.5311;
   205    1.815            1000             993             933          0.5311;
   206    1.824            1000             993             933          0.5311;
   207    1.833            1000             993             933          0.5360;
   208    1.842            1000             993             933          0.5360;
   209    1.851            1000             993             933          0.5360;
   210    1.859            1000             993             933          0.5311;
   211    1.868            1000             993             933          0.5311;
   212    1.877            1000             993             933          0.5311;
   213    1.886            1000             993             933          0.5311;
   214    1.895            1000             993             933          0.5360;
   215    1.904            1000             993             933          0.5360;
   216    1.913            1000             993             933          0.5360;
   217    1.921            1000             993             933          0.5360;
   218    1.930            1000             993             933          0.5354;
   219    1.939            1000             993             933          0.5354;
   220    1.948            1000             994             933          0.5317;
   221    1.957            1000             994             933          0.5317;
   222    1.966            1000             994             933          0.5317;
   223    1.974            1000             994             933          0.5311;
   224    1.983            1000             994             933          0.5311;
   225    1.992            1000             994             933          0.5360;
   226    2.001            1000             994             933          0.5360;
   227    2.010            1000             994             933          0.5360;
   228    2.019            1000             994             933          0.5360;
   229    2.028            1000             994             933          0.5360;
   230    2.036            1000             994             933          0.5366;
   231    2.045            1000             994             933          0.5366;
   232    2.054            1000             994             933          0.5366;
   233    2.063            1000             994             933          0.5324;
   234    2.072            1000             994             933          0.5324;
   235    2.081            1000             994             933          0.5366;
   236    2.090            1000             994             933          0.5366;
   237    2.098            1000             994             933          0.5324;
   238    2.107            1000             994             933          0.5324;
   239    2.116            1000             994             933          0.5372;
   240    2.125            1000             994             933          0.5366;
   241    2.134            1000             994             933          0.5330;
   242    2.143            1000             994             933          0.5372;
   243    2.152            1000             995             933          0.5372;
   244    2.160            1000             995             933          0.5366;
   245    2.169            1000             995             933          0.5330;
   246    2.178            1000             995             933          0.5372;
   247    2.187            1000             995             933          0.5372;
   248    2.196            1000             995             933          0.5372;
   249    2.205            1000             995             933          0.5330;
   250    2.214            1000             995             933          0.5372;
   251    2.222            1000             995             933          0.5372;
   252    2.231            1000             995             933          0.5366;
   253    2.240            1000             995             933          0.5372;
   254    2.249            1000             995             933          0.5372;
   255    2.258            1000             995             933          0.5372;
   256    2.267            1000             995             933          0.5330;
   257    2.276            1000             995             933          0.5372;
   258    2.284            1000             995             933          0.5372;
   259    2.293            1000             995             933          0.5366;
   260    2.302            1000             995             933          0.5324;
   261    2.311            1000             995             933          0.5372;
   262    2.320            1000             995             933          0.5366;
   263    2.329            1000             995             933          0.5324;
   264    2.338            1000             995             933          0.5324;
   265    2.346            1000             996             933          0.5366;
   266    2.355            1000             996             933          0.5366;
   267    2.364            1000             996             933          0.5324;
   268    2.373            1000             996             933          0.5366;
   269    2.382            1000             996             933          0.5366;
   270    2.391            1000             996             933          0.5366;
   271    2.399            1000             996             933          0.5324;
   272    2.408            1000             996             933          0.5366;
   273    2.417            1000             996             933          0.5366;
   274    2.426            1000             996             933          0.5324;
   275    2.435            1000             996             933          0.5366;
   276    2.444            1000             996             933          0.5366;
   277    2.453            1000             996             933          0.5366;
   278    2.461            1000             996             933          0.5372;
   279    2.470            1000             996             933          0.5372;
   280    2.479            1000             996             933          0.5372;
   281    2.488            1000             996             933          0.5379;
   282    2.497            1000             996             933          0.5379;
   283    2.506            1000             996             933          0.5379;
   284    2.515            1000             996             933          0.5379;
   285    2.523            1000             996             933          0.5336;
   286    2.532            1000             996             933          0.5385;
   287    2.541            1000             996             933          0.5342;
   288    2.550            1000             996             933          0.5385;
   289    2.559            1000             996             933          0.5342;
   290    2.568            1000             996             933          0.5385;
   291    2.577            1000             996             933          0.5342;
   292    2.585            1000             996             933          0.5385;
   293    2.594            1000             996             933          0.5342;
   294    2.603            1000             996             933          0.5385;
   295    2.612            1000             996             933          0.5342;
   296    2.621            1000             996             933          0.5385;
   297    2.630            1000             996             933          0.5342;
   298    2.639            1000             996             933          0.5385;
   299    2.647            1000             996             933          0.5385;
   300    2.656            1000             996             933          0.5385;
   301    2.665            1000             996             933          0.5385;
   302    2.674            1000             996             933          0.5385;
   303    2.683            1000             997             933          0.5385;
   304    2.692            1000             997             933          0.5385;
   305    2.701            1000             997             933          0.5379;
