Time, Heater Temp[C], Heater Voltage[V], Sense Voltage[V], Fan Speed[%], Ambient Temp[C]
9:48:19 AM, 73.29, 169.5925, 0.3128, 0, 24.11
9:48:20 AM, 73.29, 168.9933, 0.3519, 0, 21.58
9:48:21 AM, 73.48, 168.9933, 0.3568, 0, 23.91
9:48:22 AM, 73.68, 169.3928, 0.3128, 0, 24.88
9:48:23 AM, 73.68, 169.3928, 0.3030, 0, 23.72
9:48:24 AM, 73.48, 169.5925, 0.3030, 0, 23.72
9:48:25 AM, 73.68, 169.5925, 0.3324, 0, 23.91
9:48:26 AM, 73.68, 169.5925, 0.3275, 0, 23.52
9:48:27 AM, 73.48, 169.3928, 0.3372, 0, 23.52
9:48:28 AM, 73.48, 169.7923, 0.3372, 0, 26.63
9:48:29 AM, 73.48, 169.1930, 0.3470, 0, 24.11
9:48:30 AM, 73.68, 169.3928, 0.3226, 0, 23.72
9:48:31 AM, 73.87, 169.3928, 0.3372, 0, 21.58
9:48:32 AM, 74.07, 169.7923, 0.2981, 0, 24.30
9:48:33 AM, 73.87, 169.3928, 0.2981, 0, 23.33
9:48:34 AM, 73.87, 169.5925, 0.2981, 0, 24.88
9:48:35 AM, 73.87, 169.7923, 0.3079, 0, 23.13
9:48:36 AM, 74.07, 169.7923, 0.3421, 0, 23.13
9:48:37 AM, 74.07, 169.9920, 0.2933, 0, 24.11
9:48:38 AM, 74.07, 169.9920, 0.2542, 0, 23.52
9:48:39 AM, 74.07, 169.9920, 0.3470, 0, 23.13
9:48:40 AM, 74.26, 170.1918, 0.2933, 0, 24.11
9:48:41 AM, 73.87, 170.3915, 0.2981, 0, 24.11
9:48:42 AM, 73.87, 172.5889, 0.2981, 0, 23.52
9:48:43 AM, 74.07, 169.7923, 0.3128, 0, 23.72
9:48:44 AM, 74.07, 169.9920, 0.2981, 0, 24.30
9:48:45 AM, 74.26, 169.7923, 0.2933, 0, 23.33
9:48:46 AM, 74.07, 170.1918, 0.2835, 0, 23.33
9:48:47 AM, 74.07, 170.3915, 0.2933, 0, 23.13
9:48:48 AM, 74.26, 169.9920, 0.2933, 0, 24.11
9:48:49 AM, 74.46, 170.9908, 0.2688, 0, 22.94
9:48:50 AM, 74.07, 173.7874, 0.2639, 0, 26.83
9:48:51 AM, 74.26, 169.9920, 0.2933, 0, 24.30
9:48:52 AM, 74.46, 170.3915, 0.2737, 0, 24.11
9:48:53 AM, 74.65, 170.5913, 0.2639, 0, 23.52
9:48:54 AM, 74.84, 170.9908, 0.2297, 0, 24.30
9:48:55 AM, 74.84, 170.3915, 0.2346, 0, 23.72
9:48:56 AM, 74.84, 172.5889, 0.2248, 0, 23.13
9:48:57 AM, 74.84, 170.9908, 0.2395, 0, 23.52
9:48:58 AM, 74.65, 171.1906, 0.2346, 0, 23.52
9:48:59 AM, 74.26, 171.1906, 0.2542, 0, 24.11
9:49:00 AM, 74.26, 169.9920, 0.2737, 0, 23.33
9:49:01 AM, 74.46, 170.7911, 0.2590, 0, 24.11
9:49:02 AM, 74.26, 170.1918, 0.2590, 0, 24.30
9:49:03 AM, 74.26, 170.5913, 0.2737, 0, 23.33
9:49:04 AM, 74.46, 170.3915, 0.2590, 0, 23.91
9:49:05 AM, 74.46, 170.7911, 0.2395, 0, 23.91
9:49:06 AM, 74.26, 170.5913, 0.2639, 0, 23.52
9:49:07 AM, 74.26, 170.3915, 0.2444, 0, 24.11
9:49:08 AM, 74.46, 170.5913, 0.2590, 0, 23.91
9:49:09 AM, 74.46, 170.5913, 0.2639, 0, 23.33
9:49:10 AM, 74.07, 170.7911, 0.2346, 0, 23.72
9:49:11 AM, 74.07, 169.9920, 0.2933, 0, 23.52
9:49:12 AM, 74.26, 170.1918, 0.2884, 0, 23.52
9:49:13 AM, 74.46, 170.9908, 0.2688, 0, 23.52
9:49:14 AM, 74.46, 170.9908, 0.2542, 0, 23.13
9:49:15 AM, 74.26, 170.1918, 0.2933, 0, 27.02
9:49:16 AM, 74.46, 170.5913, 0.2542, 0, 23.72
9:49:17 AM, 74.46, 170.3915, 0.2395, 0, 23.91
9:49:18 AM, 74.26, 170.9908, 0.2297, 0, 23.33
9:49:19 AM, 74.26, 170.5913, 0.2542, 0, 23.52
9:49:20 AM, 74.46, 170.3915, 0.2688, 0, 23.33
9:49:21 AM, 74.46, 170.9908, 0.2542, 0, 23.91
9:49:22 AM, 74.26, 170.5913, 0.2688, 0, 23.91
9:49:23 AM, 74.26, 169.9920, 0.2688, 0, 23.91
9:49:24 AM, 74.46, 170.3915, 0.2786, 0, 23.91
9:49:25 AM, 74.65, 170.5913, 0.2590, 0, 24.11
9:49:26 AM, 74.46, 170.7911, 0.2493, 0, 23.52
9:49:27 AM, 74.65, 170.5913, 0.2590, 0, 24.11
9:49:28 AM, 74.65, 170.7911, 0.2590, 0, 23.91
9:49:29 AM, 74.65, 171.1906, 0.2542, 0, 23.72
9:49:30 AM, 74.65, 170.5913, 0.2297, 0, 23.72
9:49:31 AM, 74.84, 170.9908, 0.2542, 0, 23.91
9:49:32 AM, 74.84, 170.9908, 0.2297, 0, 23.91
9:49:33 AM, 74.65, 171.7898, 0.2053, 0, 23.52
9:49:34 AM, 74.46, 170.7911, 0.2590, 0, 23.52
9:49:35 AM, 74.65, 170.5913, 0.2493, 0, 23.91
9:49:36 AM, 74.65, 170.7911, 0.2639, 0, 23.91
9:49:37 AM, 74.65, 170.5913, 0.2297, 0, 24.88
9:49:38 AM, 74.84, 170.3915, 0.2590, 0, 24.30
9:49:39 AM, 74.84, 171.1906, 0.2395, 0, 23.91
9:49:40 AM, 74.84, 170.9908, 0.2346, 0, 23.52
9:49:41 AM, 74.84, 170.5913, 0.2346, 0, 23.91
9:49:42 AM, 74.84, 171.1906, 0.2297, 0, 24.11
9:49:43 AM, 74.84, 169.3928, 0.2346, 0, 23.72
9:49:44 AM, 74.46, 170.7911, 0.2590, 0, 23.72
9:49:45 AM, 74.46, 170.7911, 0.2346, 0, 23.72
9:49:46 AM, 74.65, 170.1918, 0.2297, 0, 23.72
9:49:47 AM, 74.84, 170.7911, 0.2248, 0, 23.33
9:49:48 AM, 74.65, 171.1906, 0.2395, 0, 23.91
9:49:49 AM, 74.46, 170.9908, 0.2493, 0, 24.49
9:49:50 AM, 74.65, 170.7911, 0.2297, 0, 23.52
9:49:51 AM, 74.46, 170.5913, 0.2590, 0, 23.72
9:49:52 AM, 74.46, 170.3915, 0.2737, 0, 23.91
9:49:53 AM, 74.65, 170.9908, 0.2639, 0, 24.69
9:49:54 AM, 74.65, 170.9908, 0.2248, 0, 23.91
9:49:55 AM, 74.46, 170.7911, 0.2346, 0, 23.91
9:49:56 AM, 74.46, 170.7911, 0.2493, 0, 24.11
9:49:57 AM, 74.65, 170.5913, 0.2688, 0, 24.11
9:49:58 AM, 74.65, 170.1918, 0.2297, 0, 23.33
9:49:59 AM, 74.46, 170.5913, 0.2248, 0, 23.72
9:50:00 AM, 74.65, 170.5913, 0.2542, 0, 25.66
9:50:01 AM, 74.65, 170.7911, 0.2590, 0, 24.11
9:50:02 AM, 74.65, 170.3915, 0.2590, 0, 23.33
9:50:03 AM, 74.65, 170.5913, 0.2493, 0, 23.33
9:50:04 AM, 74.46, 170.5913, 0.2493, 0, 23.91
9:50:05 AM, 74.65, 170.7911, 0.2395, 0, 24.11
9:50:06 AM, 74.65, 171.1906, 0.2151, 0, 23.33
9:50:07 AM, 74.65, 170.9908, 0.2590, 0, 23.13
9:50:08 AM, 74.84, 170.1918, 0.2297, 0, 23.52
9:50:09 AM, 74.84, 170.9908, 0.2297, 0, 23.52
9:50:10 AM, 74.84, 170.9908, 0.2199, 0, 22.94
9:50:11 AM, 74.84, 171.1906, 0.2102, 0, 23.91
9:50:12 AM, 74.65, 171.1906, 0.2248, 0, 24.11
9:50:13 AM, 74.84, 170.9908, 0.2199, 0, 23.91
9:50:14 AM, 74.84, 171.1906, 0.2297, 0, 24.11
9:50:15 AM, 74.65, 171.1906, 0.2297, 0, 24.11
9:50:16 AM, 74.65, 170.9908, 0.2542, 0, 23.52
9:50:17 AM, 74.84, 170.5913, 0.2542, 0, 23.91
9:50:18 AM, 75.04, 170.9908, 0.2004, 0, 23.91
9:50:19 AM, 75.04, 170.9908, 0.2004, 0, 23.91
9:50:20 AM, 74.84, 171.1906, 0.1857, 0, 23.13
9:50:21 AM, 74.84, 172.5889, 0.2590, 0, 23.91
9:50:22 AM, 74.84, 170.9908, 0.2346, 0, 23.91
9:50:23 AM, 74.65, 171.3903, 0.2297, 0, 23.72
9:50:24 AM, 74.46, 170.7911, 0.2248, 0, 23.91
9:50:25 AM, 74.65, 170.5913, 0.2542, 0, 23.52
9:50:26 AM, 74.84, 170.9908, 0.2590, 0, 23.33
9:50:27 AM, 74.65, 170.9908, 0.2346, 0, 23.91
9:50:28 AM, 74.84, 170.5913, 0.2493, 0, 23.13
9:50:29 AM, 74.84, 170.9908, 0.2395, 0, 24.30
9:50:30 AM, 74.84, 171.1906, 0.2248, 0, 24.30
9:50:31 AM, 74.84, 170.9908, 0.2346, 0, 23.13
9:50:32 AM, 74.65, 170.3915, 0.2199, 0, 23.72
9:50:33 AM, 74.65, 170.1918, 0.2346, 0, 24.30
9:50:34 AM, 74.84, 170.5913, 0.2590, 0, 23.33
9:50:35 AM, 74.65, 171.1906, 0.2297, 0, 23.72
9:50:36 AM, 74.84, 170.5913, 0.2590, 0, 25.08
9:50:37 AM, 75.04, 171.1906, 0.2199, 0, 23.52
9:50:38 AM, 75.04, 171.7898, 0.2199, 0, 24.11
9:50:39 AM, 75.04, 171.3903, 0.2199, 0, 23.72
9:50:40 AM, 75.04, 171.3903, 0.2199, 0, 23.91
9:50:41 AM, 75.04, 171.1906, 0.2346, 0, 23.91
9:50:42 AM, 75.04, 171.1906, 0.1906, 0, 23.91
9:50:43 AM, 75.04, 171.3903, 0.2102, 0, 22.36
9:50:44 AM, 75.04, 171.3903, 0.2151, 0, 23.91
9:50:45 AM, 74.84, 171.1906, 0.1857, 0, 24.11
9:50:46 AM, 75.04, 171.1906, 0.2248, 0, 21.00
9:50:47 AM, 75.04, 171.1906, 0.2199, 0, 23.33
9:50:48 AM, 75.04, 171.1906, 0.2053, 0, 24.11
9:50:49 AM, 75.04, 171.3903, 0.1955, 0, 24.11
9:50:50 AM, 75.04, 171.3903, 0.2199, 0, 23.72
9:50:51 AM, 75.04, 171.1906, 0.2151, 0, 24.11
9:50:52 AM, 74.84, 171.1906, 0.2151, 0, 23.52
9:50:53 AM, 74.84, 171.1906, 0.2297, 0, 24.11
9:50:54 AM, 74.84, 170.7911, 0.2151, 0, 24.11
9:50:55 AM, 74.84, 171.1906, 0.2395, 0, 24.11
9:50:56 AM, 74.65, 171.3903, 0.2346, 0, 23.91
9:50:57 AM, 74.84, 170.5913, 0.2639, 0, 24.11
9:50:58 AM, 74.84, 170.9908, 0.2297, 0, 23.33
9:50:59 AM, 74.65, 170.7911, 0.2346, 0, 23.91
9:51:00 AM, 74.65, 170.5913, 0.2590, 0, 23.91
9:51:01 AM, 74.65, 170.7911, 0.2590, 0, 24.30
9:51:02 AM, 74.84, 170.7911, 0.2444, 0, 23.52
9:51:03 AM, 74.84, 170.1918, 0.2346, 0, 24.11
9:51:04 AM, 74.84, 170.9908, 0.2297, 0, 23.52
9:51:05 AM, 74.84, 171.3903, 0.2199, 0, 23.52
9:51:06 AM, 75.04, 171.1906, 0.2053, 0, 23.52
9:51:07 AM, 75.04, 171.3903, 0.2004, 0, 23.91
9:51:08 AM, 75.04, 172.5889, 0.1906, 0, 23.52
9:51:09 AM, 75.23, 170.9908, 0.2151, 0, 23.33
9:51:10 AM, 75.23, 173.3879, 0.1955, 0, 23.72
9:51:11 AM, 75.04, 171.5901, 0.1808, 0, 24.11
9:51:12 AM, 75.23, 171.3903, 0.2199, 0, 24.11
9:51:13 AM, 75.23, 171.7898, 0.1955, 0, 24.49
9:51:14 AM, 75.23, 171.9896, 0.2004, 0, 23.91
9:51:15 AM, 75.04, 171.7898, 0.1662, 0, 23.52
9:51:16 AM, 75.23, 171.1906, 0.1808, 0, 23.72
9:51:17 AM, 75.23, 171.7898, 0.2004, 0, 23.33
9:51:18 AM, 75.04, 171.7898, 0.1955, 0, 23.13
9:51:19 AM, 75.04, 171.3903, 0.2199, 0, 24.30
9:51:20 AM, 75.04, 170.3915, 0.2248, 0, 23.72
9:51:21 AM, 75.04, 171.3903, 0.2346, 0, 24.11
9:51:22 AM, 75.04, 178.9810, 0.2053, 0, 23.33
9:51:23 AM, 74.84, 171.1906, 0.2004, 0, 23.52
9:51:24 AM, 74.84, 170.9908, 0.2493, 0, 24.30
9:51:25 AM, 75.04, 170.9908, 0.2297, 0, 23.13
9:51:26 AM, 74.84, 171.1906, 0.2102, 0, 23.52
9:51:27 AM, 74.84, 171.1906, 0.2199, 0, 23.52
9:51:28 AM, 74.84, 170.7911, 0.2346, 0, 23.91
9:51:29 AM, 74.84, 170.9908, 0.2297, 0, 23.72
9:51:30 AM, 74.65, 170.9908, 0.2346, 0, 23.72
9:51:31 AM, 74.84, 170.5913, 0.2590, 0, 23.72
9:51:32 AM, 74.84, 171.3903, 0.2053, 0, 25.86
9:51:33 AM, 74.84, 170.9908, 0.2199, 0, 23.91
9:51:34 AM, 74.46, 170.9908, 0.2248, 0, 23.72
9:51:35 AM, 74.65, 170.1918, 0.2297, 0, 23.91
9:51:36 AM, 74.65, 170.7911, 0.2493, 0, 23.91
9:51:37 AM, 74.84, 170.5913, 0.2493, 0, 21.58
9:51:38 AM, 75.04, 170.9908, 0.2395, 0, 23.91
9:51:39 AM, 75.04, 171.1906, 0.2053, 0, 23.33
9:51:40 AM, 75.04, 171.1906, 0.2199, 0, 23.91
9:51:41 AM, 75.04, 171.1906, 0.2151, 0, 24.30
9:51:42 AM, 75.04, 171.1906, 0.2199, 0, 23.52
9:51:43 AM, 75.04, 170.9908, 0.1906, 0, 23.72
9:51:44 AM, 74.84, 171.1906, 0.1906, 0, 23.91
9:51:45 AM, 75.04, 171.1906, 0.2004, 0, 24.30
9:51:46 AM, 75.04, 171.1906, 0.2395, 0, 21.58
9:51:47 AM, 75.04, 171.1906, 0.2102, 0, 23.91
9:51:48 AM, 75.04, 171.1906, 0.2248, 0, 23.91
9:51:49 AM, 75.04, 171.1906, 0.2248, 0, 24.30
9:51:50 AM, 75.04, 171.1906, 0.1906, 0, 23.91
9:51:51 AM, 74.65, 171.1906, 0.2346, 0, 23.52
9:51:52 AM, 74.46, 170.5913, 0.2590, 0, 23.72
9:51:53 AM, 74.46, 170.3915, 0.2542, 0, 23.91
9:51:54 AM, 74.65, 170.5913, 0.2444, 0, 23.91
9:51:55 AM, 74.46, 170.3915, 0.2444, 0, 23.13
9:51:56 AM, 74.26, 170.3915, 0.2590, 0, 24.11
9:51:57 AM, 74.46, 170.3915, 0.2590, 0, 23.91
