Time, Heater Temp[C], Heater Voltage[V], Sense Voltage[V], Fan Speed[%], Ambient Temp[C]
9:12:47 AM, 71.93, 168.3940, 0.4399, 35, 21.97
9:12:48 AM, 72.12, 168.7935, 0.4741, 35, 21.77
9:12:49 AM, 72.32, 168.7935, 0.4643, 31, 21.19
9:12:50 AM, 72.51, 169.5925, 0.4154, 35, 21.97
9:12:51 AM, 72.71, 169.3928, 0.4301, 35, 21.77
9:12:52 AM, 72.71, 168.7935, 0.4203, 35, 21.97
9:12:53 AM, 72.51, 169.5925, 0.3959, 35, 21.97
9:12:54 AM, 72.32, 169.5925, 0.4350, 35, 22.16
9:12:55 AM, 72.51, 169.1930, 0.4350, 35, 21.77
9:12:56 AM, 72.51, 169.5925, 0.3959, 35, 22.16
9:12:57 AM, 72.32, 169.7923, 0.4106, 35, 22.16
9:12:58 AM, 72.12, 169.3928, 0.4399, 35, 21.38
9:12:59 AM, 72.32, 168.9933, 0.4643, 35, 21.97
9:13:00 AM, 72.32, 169.5925, 0.4497, 35, 21.97
9:13:01 AM, 72.12, 168.5937, 0.4497, 35, 22.36
9:13:02 AM, 72.32, 168.9933, 0.4643, 35, 21.58
9:13:03 AM, 72.32, 169.3928, 0.4350, 35, 21.97
9:13:04 AM, 72.51, 170.1918, 0.4350, 35, 21.19
9:13:05 AM, 72.51, 169.5925, 0.4008, 35, 21.19
9:13:06 AM, 72.51, 169.3928, 0.4154, 35, 22.16
9:13:07 AM, 72.51, 169.5925, 0.4301, 35, 21.97
9:13:08 AM, 72.51, 169.3928, 0.4252, 31, 22.16
9:13:09 AM, 72.32, 169.3928, 0.4008, 35, 21.77
9:13:10 AM, 72.12, 169.1930, 0.4399, 35, 22.36
9:13:11 AM, 72.32, 168.5937, 0.4497, 31, 22.16
9:13:12 AM, 72.32, 169.1930, 0.4350, 35, 21.58
9:13:13 AM, 72.12, 172.5889, 0.4448, 31, 21.97
9:13:14 AM, 72.32, 168.9933, 0.4545, 35, 18.47
9:13:15 AM, 72.12, 169.1930, 0.4350, 31, 21.38
9:13:16 AM, 72.32, 168.7935, 0.4643, 35, 21.58
9:13:17 AM, 72.51, 168.7935, 0.4350, 35, 22.55
9:13:18 AM, 72.51, 169.5925, 0.4301, 35, 21.97
9:13:19 AM, 72.51, 169.9920, 0.4008, 31, 21.58
9:13:20 AM, 72.32, 169.1930, 0.4301, 35, 21.58
9:13:21 AM, 72.51, 169.5925, 0.4301, 35, 22.55
9:13:22 AM, 72.51, 169.3928, 0.4350, 35, 21.19
9:13:23 AM, 72.51, 169.3928, 0.4252, 31, 22.16
9:13:24 AM, 72.32, 169.3928, 0.4301, 31, 21.97
9:13:25 AM, 72.12, 169.5925, 0.4350, 31, 22.36
9:13:26 AM, 72.32, 168.9933, 0.4545, 35, 22.16
9:13:27 AM, 72.32, 169.3928, 0.4057, 31, 21.97
9:13:28 AM, 72.32, 169.3928, 0.4350, 35, 21.97
9:13:29 AM, 72.32, 169.3928, 0.4252, 35, 22.16
9:13:30 AM, 72.32, 169.1930, 0.4350, 35, 21.19
9:13:31 AM, 72.32, 169.3928, 0.4350, 35, 21.77
9:13:32 AM, 72.12, 168.7935, 0.4350, 35, 21.97
9:13:33 AM, 72.32, 168.7935, 0.4643, 31, 21.19
9:13:34 AM, 72.32, 169.5925, 0.4106, 35, 22.16
