Time, Heater Temp[C], Heater Voltage[V], Sense Voltage[V], Fan Speed[%], Ambient Temp[C]
12:02:12 PM, 144.44, 157.8069, 1.0166, 43, 22.94
12:02:13 PM, 144.44, 157.8069, 1.0117, 47, 22.55
12:02:14 PM, 144.44, 157.8069, 1.0068, 47, 25.27
12:02:15 PM, 144.24, 157.4074, 1.0166, 47, 22.94
12:02:16 PM, 144.24, 157.8069, 0.9922, 43, 23.13
12:02:17 PM, 144.44, 157.8069, 1.0068, 43, 23.13
12:02:18 PM, 144.44, 157.8069, 1.0068, 43, 22.94
12:02:19 PM, 144.44, 157.8069, 1.0020, 47, 22.94
12:02:20 PM, 144.24, 158.0067, 0.9971, 47, 22.36
12:02:21 PM, 144.24, 157.8069, 0.9873, 47, 23.13
12:02:22 PM, 144.24, 157.2077, 0.9873, 43, 23.13
12:02:23 PM, 144.44, 157.4074, 0.9775, 43, 23.13
12:02:24 PM, 144.44, 157.8069, 1.0068, 47, 23.13
12:02:25 PM, 144.24, 158.0067, 0.9580, 47, 23.33
12:02:26 PM, 144.05, 157.8069, 1.0117, 47, 24.11
12:02:27 PM, 144.05, 157.4074, 1.0362, 43, 23.52
12:02:28 PM, 144.05, 157.0079, 1.0459, 43, 23.13
12:02:29 PM, 144.05, 157.0079, 1.0411, 43, 22.74
12:02:30 PM, 143.86, 157.6072, 1.0215, 47, 23.72
12:02:31 PM, 143.66, 156.6084, 1.0557, 47, 23.33
12:02:32 PM, 143.86, 157.2077, 1.0704, 47, 22.94
12:02:33 PM, 144.05, 157.4074, 1.0459, 47, 23.72
12:02:34 PM, 144.05, 157.8069, 0.9971, 43, 23.33
12:02:35 PM, 144.05, 157.4074, 1.0313, 43, 22.94
12:02:36 PM, 144.05, 157.4074, 1.0020, 43, 23.13
12:02:37 PM, 143.86, 157.4074, 1.0362, 43, 22.94
12:02:38 PM, 144.05, 157.4074, 1.0411, 43, 23.33
12:02:39 PM, 144.24, 158.2065, 1.0362, 47, 22.16
12:02:40 PM, 144.24, 157.8069, 1.0117, 47, 22.16
12:02:41 PM, 144.24, 157.8069, 1.0020, 47, 22.94
12:02:42 PM, 144.05, 157.6072, 1.0166, 47, 22.55
12:02:43 PM, 143.86, 157.4074, 1.0459, 47, 23.13
12:02:44 PM, 143.86, 159.8045, 1.0459, 43, 23.33
12:02:45 PM, 144.05, 157.4074, 1.0459, 43, 23.72
12:02:46 PM, 144.24, 157.8069, 0.9971, 43, 22.94
12:02:47 PM, 144.05, 157.8069, 0.9775, 43, 23.13
12:02:48 PM, 144.05, 157.6072, 1.0313, 43, 22.74
12:02:49 PM, 144.24, 157.8069, 1.0117, 47, 22.74
12:02:50 PM, 144.44, 156.8082, 1.0117, 47, 23.13
12:02:51 PM, 144.44, 158.0067, 1.0068, 47, 23.13
12:02:52 PM, 144.05, 158.0067, 1.0117, 43, 22.55
12:02:53 PM, 143.86, 157.6072, 1.0362, 43, 22.94
12:02:54 PM, 144.05, 157.2077, 1.0459, 43, 21.58
12:02:55 PM, 144.05, 157.8069, 1.0313, 43, 22.94
12:02:56 PM, 144.24, 157.4074, 1.0362, 43, 23.13
