Results Table 1


Results Table 2


Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0001"
"1.0000","0.0303","0.0227"
"2.0000","0.0635","0.0468"
"3.0000","0.0970","0.0681"
"4.0000","0.1304","0.0900"
"5.0000","0.1634","0.1123"
"6.0000","0.1969","0.1347"
"7.0000","0.2301","0.1569"
"8.0000","0.2634","0.1788"
"9.0000","0.2969","0.2007"
"10.0000","0.3301","0.2222"
"11.0000","0.3635","0.2435"
"12.0000","0.3968","0.2646"
"13.0000","0.4300","0.2854"
"14.0000","0.4635","0.3062"
"15.0000","0.4970","0.3269"
"16.0000","0.5302","0.3471"
"17.0000","0.5635","0.3672"
"18.0000","0.5967","0.3869"
"19.0000","0.6303","0.4069"
"20.0000","0.6637","0.4265"
"21.0000","0.6970","0.4458"
"22.0000","0.7303","0.4651"
"23.0000","0.7636","0.4839"
"24.0000","0.7969","0.5028"
"25.0000","0.8304","0.5214"
"26.0000","0.8636","0.5399"
"27.0000","0.8969","0.5578"
"28.0000","0.9302","0.5759"
"29.0000","0.9634","0.5933"
"30.0000","0.9970","0.6110"
"31.0000","1.0304","0.6287"
"32.0000","1.0634","0.6454"
"33.0000","1.0968","0.6624"
"34.0000","1.1301","0.6792"
"35.0000","1.1634","0.6958"
"36.0000","1.1970","0.7122"
"37.0000","1.2300","0.7283"
"38.0000","1.2633","0.7442"
"39.0000","1.2968","0.7601"
"40.0000","1.3301","0.7756"
"41.0000","1.3636","0.7910"
"42.0000","1.3969","0.8063"
"43.0000","1.4301","0.8210"
"44.0000","1.4635","0.8359"
"45.0000","1.4968","0.8505"
"46.0000","1.5303","0.8648"
"47.0000","1.5637","0.8794"
"48.0000","1.5968","0.8937"
"49.0000","1.6304","0.9081"
"50.0000","1.6636","0.9223"
"51.0000","1.6969","0.9363"
"52.0000","1.7304","0.9505"
"53.0000","1.7636","0.9643"
"54.0000","1.7970","0.9780"
"55.0000","1.8303","0.9918"
"56.0000","1.8634","1.0049"
"57.0000","1.8970","1.0182"
"58.0000","1.9304","1.0314"
"59.0000","1.9634","1.0442"
"60.0000","1.9969","1.0573"
"61.0000","2.0301","1.0699"
"62.0000","2.0634","1.0827"
"63.0000","2.0969","1.0952"
"64.0000","2.1301","1.1075"
"65.0000","2.1634","1.1197"
"66.0000","2.1968","1.1318"
"67.0000","2.2301","1.1440"
"68.0000","2.2635","1.1561"
"69.0000","2.2970","1.1678"
"70.0000","2.3301","1.1793"
"71.0000","2.3635","1.1908"
"72.0000","2.3967","1.2022"
"73.0000","2.4303","1.2136"
"74.0000","2.4637","1.2249"
"75.0000","2.4969","1.2359"
"76.0000","2.5302","1.2468"
"77.0000","2.5636","1.2575"
"78.0000","2.5969","1.2682"
"79.0000","2.6304","1.2788"
"80.0000","2.6636","1.2893"
"81.0000","2.6969","1.2994"
"82.0000","2.7303","1.3096"
"83.0000","2.7635","1.3195"
"84.0000","2.7970","1.3294"
"85.0000","2.8304","1.3392"
"86.0000","2.8634","1.3487"
"87.0000","2.8969","1.3582"
"88.0000","2.9301","1.3675"
"89.0000","2.9634","1.3765"
"90.0000","2.9969","1.3856"
"91.0000","3.0301","1.3944"
"92.0000","3.0634","1.4032"
"93.0000","3.0968","1.4118"
"94.0000","3.1301","1.4202"
"95.0000","3.1635","1.4286"
"96.0000","3.1969","1.4369"
"97.0000","3.2302","1.4448"
"98.0000","3.2635","1.4528"
"99.0000","3.2967","1.4605"
"100.0000","3.3303","1.4681"
"101.0000","3.3637","1.4757"
"102.0000","3.3969","1.4829"
"103.0000","3.4303","1.4905"
"104.0000","3.4635","1.4974"
"105.0000","3.4969","1.5042"
"106.0000","3.5304","1.5112"
"107.0000","3.5636","1.5177"
"108.0000","3.5969","1.5241"
"109.0000","3.6303","1.5307"
"110.0000","3.6634","1.5368"
"111.0000","3.6970","1.5431"
"112.0000","3.7305","1.5491"
"113.0000","3.7634","1.5548"
"114.0000","3.7968","1.5605"
"115.0000","3.8301","1.5661"
"116.0000","3.8635","1.5717"
"117.0000","3.8970","1.5772"
"118.0000","3.9301","1.5823"
"119.0000","3.9633","1.5873"
"120.0000","3.9968","1.5924"
"121.0000","4.0301","1.5972"
"122.0000","4.0636","1.6021"
"123.0000","4.0969","1.6068"
"124.0000","4.1301","1.6113"
"124.9570","4.1633","0.7999"

